"coord","year","month","cm","coord","year","month","dump","season"
"K32",2002,"Apr",35,"K32",2002,"Apr",0,2002
"K34",2002,"Apr",0,"K34",2002,"Apr",0,2002
"K5",2002,"Apr",37.5,"K5",2002,"Apr",0,2002
"L10",2002,"Apr",35,"L10",2002,"Apr",0,2002
"L11",2002,"Apr",40,"L11",2002,"Apr",0,2002
"L12",2002,"Apr",40,"L12",2002,"Apr",0,2002
"L13",2002,"Apr",35,"L13",2002,"Apr",0,2002
"L14",2002,"Apr",30,"L14",2002,"Apr",0,2002
"L15",2002,"Apr",30,"L15",2002,"Apr",0,2002
"L16",2002,"Apr",25,"L16",2002,"Apr",0,2002
"L17",2002,"Apr",25,"L17",2002,"Apr",0,2002
"L18",2002,"Apr",20,"L18",2002,"Apr",0,2002
"L19",2002,"Apr",15,"L19",2002,"Apr",0,2002
"L20",2002,"Apr",20,"L20",2002,"Apr",0,2002
"L21",2002,"Apr",15,"L21",2002,"Apr",0,2002
"L22",2002,"Apr",10,"L22",2002,"Apr",0,2002
"L23",2002,"Apr",20,"L23",2002,"Apr",0,2002
"L24",2002,"Apr",15,"L24",2002,"Apr",0,2002
"L25",2002,"Apr",25,"L25",2002,"Apr",0,2002
"L26",2002,"Apr",45,"L26",2002,"Apr",0,2002
"L27",2002,"Apr",45,"L27",2002,"Apr",0,2002
"L28",2002,"Apr",40,"L28",2002,"Apr",0,2002
"L29",2002,"Apr",30,"L29",2002,"Apr",0,2002
"L30",2002,"Apr",30,"L30",2002,"Apr",0,2002
"L31",2002,"Apr",35,"L31",2002,"Apr",0,2002
"L32",2002,"Apr",30,"L32",2002,"Apr",0,2002
"L34",2002,"Apr",0,"L34",2002,"Apr",0,2002
"L4",2002,"Apr",37.5,"L4",2002,"Apr",0,2002
"L9",2002,"Apr",30,"L9",2002,"Apr",0,2002
"M10",2002,"Apr",30,"M10",2002,"Apr",0,2002
"M11",2002,"Apr",40,"M11",2002,"Apr",0,2002
"M12",2002,"Apr",35,"M12",2002,"Apr",0,2002
"M13",2002,"Apr",35,"M13",2002,"Apr",0,2002
"M14",2002,"Apr",30,"M14",2002,"Apr",0,2002
"M15",2002,"Apr",30,"M15",2002,"Apr",0,2002
"M16",2002,"Apr",25,"M16",2002,"Apr",0,2002
"M17",2002,"Apr",30,"M17",2002,"Apr",0,2002
"M18",2002,"Apr",20,"M18",2002,"Apr",0,2002
"M19",2002,"Apr",25,"M19",2002,"Apr",0,2002
"M20",2002,"Apr",20,"M20",2002,"Apr",0,2002
"M21",2002,"Apr",10,"M21",2002,"Apr",0,2002
"M22",2002,"Apr",15,"M22",2002,"Apr",0,2002
"M23",2002,"Apr",15,"M23",2002,"Apr",0,2002
"M24",2002,"Apr",20,"M24",2002,"Apr",0,2002
"M25",2002,"Apr",25,"M25",2002,"Apr",0,2002
"M26",2002,"Apr",40,"M26",2002,"Apr",0,2002
"M27",2002,"Apr",40,"M27",2002,"Apr",0,2002
"M28",2002,"Apr",40,"M28",2002,"Apr",0,2002
"M29",2002,"Apr",35,"M29",2002,"Apr",0,2002
"M3",2002,"Apr",37.5,"M3",2002,"Apr",0,2002
"M30",2002,"Apr",40,"M30",2002,"Apr",0,2002
"M32",2002,"Apr",25,"M32",2002,"Apr",0,2002
"M34",2002,"Apr",0,"M34",2002,"Apr",0,2002
"M8",2002,"Apr",37.5,"M8",2002,"Apr",0,2002
"M9",2002,"Apr",30,"M9",2002,"Apr",0,2002
"N10",2002,"Apr",30,"N10",2002,"Apr",0,2002
"N11",2002,"Apr",30,"N11",2002,"Apr",0,2002
"N12",2002,"Apr",35,"N12",2002,"Apr",0,2002
"N13",2002,"Apr",30,"N13",2002,"Apr",0,2002
"N14",2002,"Apr",30,"N14",2002,"Apr",0,2002
"N15",2002,"Apr",30,"N15",2002,"Apr",0,2002
"N16",2002,"Apr",20,"N16",2002,"Apr",0,2002
"N17",2002,"Apr",20,"N17",2002,"Apr",0,2002
